colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
1123,1960,5.82716712359175,0.952380952380952,0.805970149253731,84508.5,1.09722027812281e-40,1,Arhgef6
1356,2333,7.06807921604289,0.879120879120879,0.597014925373134,84261.5,3.36828565842657e-40,1,Gm4759
2126,3577,6.55892987726954,0.919413919413919,0.771144278606965,84245,1.03465411509914e-39,1,Rcsd1
1073,1865,4.43601131510706,0.93040293040293,0.756218905472637,84182.5,1.81563692393568e-39,1,Atp2a3
1451,2501,2.77998609396915,0.992673992673993,0.980099502487562,84189,2.2133985527735e-39,1,Rgs18
1714,2903,7.78102364994084,0.813186813186813,0.402985074626866,83729,2.21925436718033e-39,1,Gimap5
877,1487,4.40200154096533,0.95970695970696,0.915422885572139,84132.5,3.60553805017998e-39,1,Rin3
20,35,7.18425854356419,0.886446886446886,0.616915422885572,83967.5,5.77767206306631e-39,1,9030619P08Rik
707,1195,2.46460556092727,0.996336996336996,0.970149253731343,83894,3.0501127276419e-38,1,Sepp1
1057,1840,6.91368990052541,0.879120879120879,0.611940298507463,83760,3.37159665091119e-38,1,Pear1
2546,4355,2.48265563843228,0.992673992673993,0.91044776119403,83821,5.76730395388369e-38,1,Fam134b
967,1650,7.18474845116828,0.886446886446886,0.661691542288557,83714,6.94443800429937e-38,1,Itih5
1604,2743,3.8075139842905,0.967032967032967,0.895522388059702,83767.5,9.0896782106249e-38,1,Phactr2
1398,2404,5.20886216647366,0.934065934065934,0.840796019900497,83740,1.07176671355527e-37,1,Wls
1953,3284,1.95916788841796,1,1,83730,1.28920161664637e-37,1,Dapp1
2528,4322,3.45125244437727,0.985347985347985,0.925373134328358,83712,1.5010293057119e-37,1,Acap1
1445,2494,5.68616851606547,0.868131868131868,0.572139303482587,83450,3.64898579726862e-37,1,Padi4
1854,3139,4.30594735623155,0.95970695970696,0.90547263681592,83577.5,4.77064888363445e-37,1,Nrxn1
2152,3626,1.89002573642652,0.241758241758242,0.830845771144279,47399,6.23922056270518e-37,1,Snhg14
586,989,3.35936522420936,0.967032967032967,0.91044776119403,83483,1.08749501150041e-36,1,Tsc22d3
2281,3864,4.70860955837173,0.941391941391941,0.781094527363184,83419,1.62920198784763e-36,1,Dusp1
